,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
3651,SERVU,P.M. Wissen  A,Wissensmagazin,Report,Sa,01.08.,2020-01-08 12:10:00,0 days 00:58:00.000000000,2020-01-08 13:08:00
3652,ZDF,Lotta & der schöne Schein  D 2019,TV-Dramödie,Spielfilm,Sa,01.08.,2020-01-08 12:15:00,0 days 01:30:00.000000000,2020-01-08 13:45:00
3653,RTL2,Die Schnäppchenhäuser – Der Traum vom Eigenheim  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 12:15:00,0 days 01:00:00.000000000,2020-01-08 13:15:00
3654,3SAT,Liebesg'schichten und Heiratssachen  A,Partnershow,Unterhaltung,Sa,01.08.,2020-01-08 12:15:00,0 days 00:45:00.000000000,2020-01-08 13:00:00
3655,ARTE,Die Inseln der Queen  D 2019,Dokureihe,Report,Sa,01.08.,2020-01-08 12:15:00,0 days 00:45:00.000000000,2020-01-08 13:00:00
3656,DMAX,Vintage Tech Hunters – Technik mit Kultfaktor!  USA,Doku,Unterhaltung,Sa,01.08.,2020-01-08 12:15:00,0 days 00:30:00.000000000,2020-01-08 12:45:00
3657,PRO7M,Storage Wars  USA 2016,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 12:15:00,0 days 00:20:00.000000000,2020-01-08 12:35:00
3658,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 12:19:00,0 days 00:28:00.000000000,2020-01-08 12:47:00
3659,SAT1G,Quincy  USA 1977,Krimiserie,Serie,Sa,01.08.,2020-01-08 12:20:00,0 days 00:45:00.000000000,2020-01-08 13:05:00
3660,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 12:25:00,0 days 00:45:00.000000000,2020-01-08 13:10:00
3661,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 12:30:00,0 days 00:55:00.000000000,2020-01-08 13:25:00
3662,PRO7,Last Man Standing  USA 2016,Comedyserie,Serie,Sa,01.08.,2020-01-08 12:30:00,0 days 00:30:00.000000000,2020-01-08 13:00:00
3663,PRO7M,Storage Wars  USA 2015,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 12:35:00,0 days 00:20:00.000000000,2020-01-08 12:55:00
3664,K1,Castle  USA 2014,Krimiserie,Serie,Sa,01.08.,2020-01-08 12:40:00,0 days 00:55:00.000000000,2020-01-08 13:35:00
3665,RTL-N,Das A-Team  USA 1983,Actionserie,Serie,Sa,01.08.,2020-01-08 12:40:00,0 days 00:50:00.000000000,2020-01-08 13:30:00
3666,DMAX,Vintage Tech Hunters – Technik mit Kultfaktor!  USA,Doku,Unterhaltung,Sa,01.08.,2020-01-08 12:45:00,0 days 00:25:00.000000000,2020-01-08 13:10:00
3667,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 12:45:00,0 days 00:45:00.000000000,2020-01-08 13:30:00
3668,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 12:47:00,0 days 00:20:00.000000000,2020-01-08 13:07:00
3669,FES,Bauerfeind – Die Show zur Frau  D,Show,Unterhaltung,Sa,01.08.,2020-01-08 12:50:00,0 days 00:55:00.000000000,2020-01-08 13:45:00
3670,ARD,Tagesschau  D,Nachrichten,,Sa,01.08.,2020-01-08 12:55:00,0 days 00:05:00.000000000,2020-01-08 13:00:00
3671,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Sa,01.08.,2020-01-08 12:55:00,0 days 01:00:00.000000000,2020-01-08 13:55:00
3672,SIXX,"Good Bones – Mutter, Tochter, Home-Makeover  USA",Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 12:55:00,0 days 00:50:00.000000000,2020-01-08 13:45:00
3673,PRO7M,Storage Wars  USA 2014,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 12:55:00,0 days 00:30:00.000000000,2020-01-08 13:25:00
3674,ARD,Pfarrer Braun: Glück auf! Der Mörder kommt!  D 2009,TV-Krimiklamotte,Spielfilm,Sa,01.08.,2020-01-08 13:00:00,0 days 01:30:00.000000000,2020-01-08 14:30:00
3675,SAT1,Motorsport: DTM,Motorsport,Sport,Sa,01.08.,2020-01-08 13:00:00,0 days 01:50:00.000000000,2020-01-08 14:50:00
3676,PRO7,Die Simpsons  USA 2001,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 13:00:00,0 days 00:25:00.000000000,2020-01-08 13:25:00
3677,3SAT,ZiB,Nachrichten,,Sa,01.08.,2020-01-08 13:00:00,0 days 00:10:00.000000000,2020-01-08 13:10:00
3678,ARTE,Die Inseln der Queen  D 2019,Dokureihe,Report,Sa,01.08.,2020-01-08 13:00:00,0 days 00:45:00.000000000,2020-01-08 13:45:00
3679,SAT1G,Quincy  USA 1977,Krimiserie,Serie,Sa,01.08.,2020-01-08 13:05:00,0 days 00:50:00.000000000,2020-01-08 13:55:00
3680,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 13:07:00,0 days 00:29:00.000000000,2020-01-08 13:36:00
3681,SERVU,Servus Wetter  A,Wetterbericht,Report,Sa,01.08.,2020-01-08 13:08:00,0 days 00:02:00.000000000,2020-01-08 13:10:00
3682,3SAT,Notizen aus dem Ausland,Kurznachrichten,,Sa,01.08.,2020-01-08 13:10:00,0 days 00:05:00.000000000,2020-01-08 13:15:00
3683,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 13:10:00,0 days 00:45:00.000000000,2020-01-08 13:55:00
3684,SERVU,Ultimate Rush – Der ultimative Kick,Sportdoku,Sport,Sa,01.08.,2020-01-08 13:10:00,0 days 00:30:00.000000000,2020-01-08 13:40:00
3685,DMAX,Der Geiger – Boss of Big Blocks  D,Schraubersoap,Unterhaltung,Sa,01.08.,2020-01-08 13:10:00,0 days 01:05:00.000000000,2020-01-08 14:15:00
3686,RTL2,Die Schnäppchenhäuser – Der Traum vom Eigenheim  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 13:15:00,0 days 01:00:00.000000000,2020-01-08 14:15:00
3687,3SAT,Bitches & Elfen  D 2018,Reportage,Report,Sa,01.08.,2020-01-08 13:15:00,0 days 00:45:00.000000000,2020-01-08 14:00:00
3688,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 13:25:00,0 days 00:35:00.000000000,2020-01-08 14:00:00
3689,PRO7,Die Simpsons  USA 2001,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 13:25:00,0 days 00:30:00.000000000,2020-01-08 13:55:00
3690,PRO7M,Storage Wars  USA 2015,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 13:25:00,0 days 00:20:00.000000000,2020-01-08 13:45:00
3691,RTL-N,Trick 17 – Ultimative Lifehacks für den glorreichen Alltag  D,Dokuserie,Report,Sa,01.08.,2020-01-08 13:30:00,0 days 00:55:00.000000000,2020-01-08 14:25:00
3692,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 13:30:00,0 days 00:50:00.000000000,2020-01-08 14:20:00
3693,K1,Castle  USA 2014,Krimiserie,Serie,Sa,01.08.,2020-01-08 13:35:00,0 days 01:00:00.000000000,2020-01-08 14:35:00
3694,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 13:36:00,0 days 00:24:00.000000000,2020-01-08 14:00:00
3695,SERVU,Superbike,Motorrad,Sport,Sa,01.08.,2020-01-08 13:40:00,0 days 00:20:00.000000000,2020-01-08 14:00:00
3696,ZDF,Emilie Richards: Zeit der Vergebung  D 2010,TV-Familiendrama,Spielfilm,Sa,01.08.,2020-01-08 13:45:00,0 days 01:28:00.000000000,2020-01-08 15:13:00
3697,ARTE,Wildes Großbritannien  GB 2018,Doku,Report,Sa,01.08.,2020-01-08 13:45:00,0 days 00:45:00.000000000,2020-01-08 14:30:00
3698,FES,SERIöS – Das Serienquartett,Talkshow,Unterhaltung,Sa,01.08.,2020-01-08 13:45:00,0 days 00:10:00.000000000,2020-01-08 13:55:00
3699,SIXX,"Good Bones – Mutter, Tochter, Home-Makeover  USA",Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 13:45:00,0 days 00:50:00.000000000,2020-01-08 14:35:00
3700,PRO7M,Storage Wars  USA 2015,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 13:45:00,0 days 00:30:00.000000000,2020-01-08 14:15:00
3701,PRO7,Die Simpsons  USA 1998,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 13:55:00,0 days 00:25:00.000000000,2020-01-08 14:20:00
3702,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Sa,01.08.,2020-01-08 13:55:00,0 days 01:00:00.000000000,2020-01-08 14:55:00
3703,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 13:55:00,0 days 00:45:00.000000000,2020-01-08 14:40:00
3704,FES,Alfred Hitchcock zeigt: Das Geständnis  USA 1959,TV-Thriller,Spielfilm,Sa,01.08.,2020-01-08 13:55:00,0 days 00:20:00.000000000,2020-01-08 14:15:00
3705,SAT1G,Mord ist ihr Hobby  USA 1994,Krimiserie,Serie,Sa,01.08.,2020-01-08 13:55:00,0 days 00:50:00.000000000,2020-01-08 14:45:00
3706,RTL,Formel 1: Großer Preis von Großbritannien,Formel 1,Sport,Sa,01.08.,2020-01-08 14:00:00,0 days 00:45:00.000000000,2020-01-08 14:45:00
3707,TELE5,Sheherazade  F/D,Zeichentrickserie,Kinder  ab 6 Jahren,Sa,01.08.,2020-01-08 14:00:00,0 days 00:25:00.000000000,2020-01-08 14:25:00
3708,3SAT,Ländermagazin,Regionalmagazin,Report,Sa,01.08.,2020-01-08 14:00:00,0 days 00:30:00.000000000,2020-01-08 14:30:00
3709,SERVU,Superbike,Motorrad,Sport,Sa,01.08.,2020-01-08 14:00:00,0 days 00:40:00.000000000,2020-01-08 14:40:00
3710,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 14:00:00,0 days 00:24:00.000000000,2020-01-08 14:24:00
3711,RTL2,Die Schnäppchenhäuser Spezial  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 14:15:00,0 days 02:00:00.000000000,2020-01-08 16:15:00
3712,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Sa,01.08.,2020-01-08 14:15:00,0 days 00:45:00.000000000,2020-01-08 15:00:00
3713,DMAX,Fast N' Loud  USA,Schraubersoap,Unterhaltung,Sa,01.08.,2020-01-08 14:15:00,0 days 01:00:00.000000000,2020-01-08 15:15:00
3714,PRO7M,Storage Wars  USA 2015,Auktionssoap,Unterhaltung,Sa,01.08.,2020-01-08 14:15:00,0 days 00:20:00.000000000,2020-01-08 14:35:00
3715,PRO7,Die Simpsons  USA 1998,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 14:20:00,0 days 00:30:00.000000000,2020-01-08 14:50:00
3716,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 14:20:00,0 days 00:50:00.000000000,2020-01-08 15:10:00
3717,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 14:24:00,0 days 00:25:00.000000000,2020-01-08 14:49:00
3718,TELE5,Babylon 5  USA 1998,Sci-Fi-Serie,Serie,Sa,01.08.,2020-01-08 14:25:00,0 days 01:00:00.000000000,2020-01-08 15:25:00
3719,RTL-N,MythBusters – Die Wissensjäger  USA/AUS,Wissenscomedy,Unterhaltung,Sa,01.08.,2020-01-08 14:25:00,0 days 00:50:00.000000000,2020-01-08 15:15:00
3720,ARD,Hotel Heidelberg: Kommen und Gehen  D 2016,TV-Familiendramödie,Spielfilm,Sa,01.08.,2020-01-08 14:30:00,0 days 01:30:00.000000000,2020-01-08 16:00:00
3721,3SAT,Kunst + Krempel,Antiquitätenratgeber,Unterhaltung,Sa,01.08.,2020-01-08 14:30:00,0 days 00:30:00.000000000,2020-01-08 15:00:00
3722,ARTE,Wildes Großbritannien  GB 2018,Doku,Report,Sa,01.08.,2020-01-08 14:30:00,0 days 00:45:00.000000000,2020-01-08 15:15:00
3723,K1,Castle  USA 2014,Krimiserie,Serie,Sa,01.08.,2020-01-08 14:35:00,0 days 00:55:00.000000000,2020-01-08 15:30:00
3724,SIXX,Sweet & Easy – Das Foodmagazin  D,Kochshow,Unterhaltung,Sa,01.08.,2020-01-08 14:35:00,0 days 00:30:00.000000000,2020-01-08 15:05:00
3725,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 14:35:00,0 days 00:20:00.000000000,2020-01-08 14:55:00
3726,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 14:40:00,0 days 00:40:00.000000000,2020-01-08 15:20:00
3727,SERVU,Superbike,Motorrad,Sport,Sa,01.08.,2020-01-08 14:40:00,0 days 00:15:00.000000000,2020-01-08 14:55:00
3728,RTL,Formel 1: Großer Preis von Großbritannien,Formel 1,Sport,Sa,01.08.,2020-01-08 14:45:00,0 days 01:30:00.000000000,2020-01-08 16:15:00
3729,SAT1G,Mord ist ihr Hobby  USA 1994,Krimiserie,Serie,Sa,01.08.,2020-01-08 14:45:00,0 days 00:50:00.000000000,2020-01-08 15:35:00
3730,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 14:49:00,0 days 00:20:00.000000000,2020-01-08 15:09:00
3731,SAT1,Auf Streife – Die Spezialisten  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 14:50:00,0 days 01:10:00.000000000,2020-01-08 16:00:00
3732,PRO7,Die Simpsons  USA 1998,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 14:50:00,0 days 00:25:00.000000000,2020-01-08 15:15:00
3733,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Sa,01.08.,2020-01-08 14:55:00,0 days 01:00:00.000000000,2020-01-08 15:55:00
3734,SERVU,Johann Schmidberger – Waffenschmied  D 2010,TV-Magazin,Report,Sa,01.08.,2020-01-08 14:55:00,0 days 00:15:00.000000000,2020-01-08 15:10:00
3735,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 14:55:00,0 days 00:20:00.000000000,2020-01-08 15:15:00
3736,3SAT,Natur im Garten,Gartenmagazin,Report,Sa,01.08.,2020-01-08 15:00:00,0 days 00:30:00.000000000,2020-01-08 15:30:00
3737,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Sa,01.08.,2020-01-08 15:00:00,0 days 00:45:00.000000000,2020-01-08 15:45:00
3738,SIXX,Sweet & Easy – Das Foodmagazin  D,Kochshow,Unterhaltung,Sa,01.08.,2020-01-08 15:05:00,0 days 00:30:00.000000000,2020-01-08 15:35:00
3739,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 15:09:00,0 days 00:29:00.000000000,2020-01-08 15:38:00
3740,SERVU,In 80 Gärten um die Welt  GB 2011,Doku,Report,Sa,01.08.,2020-01-08 15:10:00,0 days 01:00:00.000000000,2020-01-08 16:10:00
3741,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 15:10:00,0 days 00:55:00.000000000,2020-01-08 16:05:00
3742,ZDF,heute Xpress,Nachrichten,,Sa,01.08.,2020-01-08 15:13:00,0 days 00:02:00.000000000,2020-01-08 15:15:00
3743,ZDF,"Stadt, Land, Lecker  D",Kochduell,Unterhaltung,Sa,01.08.,2020-01-08 15:15:00,0 days 00:45:00.000000000,2020-01-08 16:00:00
3744,PRO7,Die Simpsons  USA 1998,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 15:15:00,0 days 00:30:00.000000000,2020-01-08 15:45:00
3745,ARTE,Wildes Großbritannien  GB 2018,Doku,Report,Sa,01.08.,2020-01-08 15:15:00,0 days 00:45:00.000000000,2020-01-08 16:00:00
3746,RTL-N,MythBusters – Die Wissensjäger  USA/AUS,Wissenscomedy,Unterhaltung,Sa,01.08.,2020-01-08 15:15:00,0 days 00:50:00.000000000,2020-01-08 16:05:00
3747,DMAX,Die Gebrauchtwagen-Profis: Der Traumauto-Deal  GB 2019,Doku-Soap,Report,Sa,01.08.,2020-01-08 15:15:00,0 days 01:00:00.000000000,2020-01-08 16:15:00
3748,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 15:15:00,0 days 00:30:00.000000000,2020-01-08 15:45:00
3749,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 15:20:00,0 days 00:45:00.000000000,2020-01-08 16:05:00
3750,TELE5,Star Trek – Raumschiff Voyager  USA 1999,Sci-Fi-Serie,Serie,Sa,01.08.,2020-01-08 15:25:00,0 days 01:00:00.000000000,2020-01-08 16:25:00
3751,K1,Scorpion  USA 2015,Krimiserie,Serie,Sa,01.08.,2020-01-08 15:30:00,0 days 00:55:00.000000000,2020-01-08 16:25:00
3752,3SAT,Jagd aufs Unwetter  D 2017,Reportagereihe,Report,Sa,01.08.,2020-01-08 15:30:00,0 days 00:30:00.000000000,2020-01-08 16:00:00
3753,SIXX,Sweet & Easy – Enie backt  D,Kochshow,Unterhaltung,Sa,01.08.,2020-01-08 15:35:00,0 days 00:30:00.000000000,2020-01-08 16:05:00
3754,SAT1G,Diagnose: Mord  USA 1998,Krimiserie,Serie,Sa,01.08.,2020-01-08 15:35:00,0 days 00:55:00.000000000,2020-01-08 16:30:00
3755,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 15:38:00,0 days 00:25:00.000000000,2020-01-08 16:03:00
3756,PRO7,Two and a Half Men  USA 2005,Comedyserie,Serie,Sa,01.08.,2020-01-08 15:45:00,0 days 00:25:00.000000000,2020-01-08 16:10:00
3757,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Sa,01.08.,2020-01-08 15:45:00,0 days 00:45:00.000000000,2020-01-08 16:30:00
3758,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 15:45:00,0 days 00:20:00.000000000,2020-01-08 16:05:00
3759,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Sa,01.08.,2020-01-08 15:55:00,0 days 01:00:00.000000000,2020-01-08 16:55:00
3760,ARD,W wie Wissen  D,Wissensmagazin,Report,Sa,01.08.,2020-01-08 16:00:00,0 days 00:30:00.000000000,2020-01-08 16:30:00
3761,ZDF,Bares für Rares  D,Trödelshow,Unterhaltung,Sa,01.08.,2020-01-08 16:00:00,0 days 01:00:00.000000000,2020-01-08 17:00:00
3762,SAT1,Auf Streife – Die Spezialisten  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 16:00:00,0 days 00:59:00.000000000,2020-01-08 16:59:00
3763,3SAT,Ein Dorf rockt ab  D 2017,TV-Komödie,Spielfilm,Sa,01.08.,2020-01-08 16:00:00,0 days 01:30:00.000000000,2020-01-08 17:30:00
3764,ARTE,Wildes Großbritannien  GB 2018,Doku,Report,Sa,01.08.,2020-01-08 16:00:00,0 days 00:45:00.000000000,2020-01-08 16:45:00
3765,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 16:03:00,0 days 00:25:00.000000000,2020-01-08 16:28:00
3766,2NEO,Terra X: Welten-Saga  D 2020,Geschichtsdoku,Report,Sa,01.08.,2020-01-08 16:05:00,0 days 00:45:00.000000000,2020-01-08 16:50:00
3767,RTL-N,Border Patrol Canada – Einsatz an der Grenze  Kan. 2013,Doku,Report,Sa,01.08.,2020-01-08 16:05:00,0 days 00:20:00.000000000,2020-01-08 16:25:00
3768,SIXX,Sweet & Easy – Enie backt  D,Kochshow,Unterhaltung,Sa,01.08.,2020-01-08 16:05:00,0 days 00:30:00.000000000,2020-01-08 16:35:00
3769,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 16:05:00,0 days 00:25:00.000000000,2020-01-08 16:30:00
3770,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 16:05:00,0 days 00:45:00.000000000,2020-01-08 16:50:00
3771,PRO7,Two and a Half Men  USA 2005,Comedyserie,Serie,Sa,01.08.,2020-01-08 16:10:00,0 days 00:25:00.000000000,2020-01-08 16:35:00
3772,SERVU,Einfach gut leben  A,Magazin,Report,Sa,01.08.,2020-01-08 16:10:00,0 days 00:10:00.000000000,2020-01-08 16:20:00
3773,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 16:15:00,0 days 00:30:00.000000000,2020-01-08 16:45:00
3774,RTL2,Zuhause im Glück – Unser Einzug in ein neues Leben  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 16:15:00,0 days 02:00:00.000000000,2020-01-08 18:15:00
3775,DMAX,Wingmen – Zwei Brüder heben ab (3)  D 2019,Reportage,Report,Sa,01.08.,2020-01-08 16:15:00,0 days 01:00:00.000000000,2020-01-08 17:15:00
3776,SERVU,Servus Wetter  A,Wetterbericht,Report,Sa,01.08.,2020-01-08 16:20:00,0 days 00:05:00.000000000,2020-01-08 16:25:00
3777,K1,Kabel Eins News,Nachrichten,,Sa,01.08.,2020-01-08 16:25:00,0 days 00:10:00.000000000,2020-01-08 16:35:00
3778,TELE5,Die Abenteuer des Brisco County jr.  USA 1993,Abenteuerserie,Serie,Sa,01.08.,2020-01-08 16:25:00,0 days 00:55:00.000000000,2020-01-08 17:20:00
3779,SERVU,Bergwelten  A 2018,Dokureihe,Report,Sa,01.08.,2020-01-08 16:25:00,0 days 01:00:00.000000000,2020-01-08 17:25:00
3780,RTL-N,Border Patrol Canada – Einsatz an der Grenze  Kan. 2013,Doku,Report,Sa,01.08.,2020-01-08 16:25:00,0 days 00:30:00.000000000,2020-01-08 16:55:00
3781,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 16:28:00,0 days 00:26:00.000000000,2020-01-08 16:54:00
3782,ARD,Weltspiegel-Reportage: Karibik  D,Reportage,Report,Sa,01.08.,2020-01-08 16:30:00,0 days 00:30:00.000000000,2020-01-08 17:00:00
3783,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Sa,01.08.,2020-01-08 16:30:00,0 days 00:45:00.000000000,2020-01-08 17:15:00
3784,SAT1G,Diagnose: Mord  USA 1998,Krimiserie,Serie,Sa,01.08.,2020-01-08 16:30:00,0 days 00:45:00.000000000,2020-01-08 17:15:00
3785,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 16:30:00,0 days 00:20:00.000000000,2020-01-08 16:50:00
3786,PRO7,Two and a Half Men  USA 2005,Comedyserie,Serie,Sa,01.08.,2020-01-08 16:35:00,0 days 00:25:00.000000000,2020-01-08 17:00:00
3787,K1,Scorpion  USA 2015,Krimiserie,Serie,Sa,01.08.,2020-01-08 16:35:00,0 days 00:55:00.000000000,2020-01-08 17:30:00
3788,SIXX,New Girl  USA 2016,Sitcom,Serie,Sa,01.08.,2020-01-08 16:35:00,0 days 00:25:00.000000000,2020-01-08 17:00:00
3789,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 16:45:00,0 days 01:00:00.000000000,2020-01-08 17:45:00
3790,ARTE,Wildes Großbritannien  GB 2018,Doku,Report,Sa,01.08.,2020-01-08 16:45:00,0 days 00:45:00.000000000,2020-01-08 17:30:00
3791,2NEO,Die glorreichen 10  D 2016,Doku,Report,Sa,01.08.,2020-01-08 16:50:00,0 days 00:45:00.000000000,2020-01-08 17:35:00
3792,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 16:50:00,0 days 00:20:00.000000000,2020-01-08 17:10:00
3793,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Sa,01.08.,2020-01-08 16:50:00,0 days 00:50:00.000000000,2020-01-08 17:40:00
3794,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Sa,01.08.,2020-01-08 16:54:00,0 days 00:21:00.000000000,2020-01-08 17:15:00
3795,VOX,Der Hundeprofi  D,Coachingdoku,Report,Sa,01.08.,2020-01-08 16:55:00,0 days 01:05:00.000000000,2020-01-08 18:00:00
3796,RTL-N,Border Patrol Canada – Einsatz an der Grenze  Kan. 2013,Doku,Report,Sa,01.08.,2020-01-08 16:55:00,0 days 00:20:00.000000000,2020-01-08 17:15:00
3797,SAT1,So gesehen  D,Magazin,Unterhaltung,Sa,01.08.,2020-01-08 16:59:00,0 days 00:01:00.000000000,2020-01-08 17:00:00
3798,ARD,Tagesschau  D,Nachrichten,,Sa,01.08.,2020-01-08 17:00:00,0 days 00:10:00.000000000,2020-01-08 17:10:00
3799,ZDF,heute Xpress,Nachrichten,,Sa,01.08.,2020-01-08 17:00:00,0 days 00:05:00.000000000,2020-01-08 17:05:00
3800,SAT1,Auf Streife – Die Spezialisten  D,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 17:00:00,0 days 01:00:00.000000000,2020-01-08 18:00:00
3801,PRO7,The Orville  USA 2017,Sci-Fi-Comedyserie,Serie,Sa,01.08.,2020-01-08 17:00:00,0 days 01:00:00.000000000,2020-01-08 18:00:00
3802,SIXX,New Girl  USA 2016,Sitcom,Serie,Sa,01.08.,2020-01-08 17:00:00,0 days 00:30:00.000000000,2020-01-08 17:30:00
3803,ZDF,Länderspiegel,Infomagazin,Report,Sa,01.08.,2020-01-08 17:05:00,0 days 00:30:00.000000000,2020-01-08 17:35:00
3804,ARD,Brisant,Boulevardmagazin,Unterhaltung,Sa,01.08.,2020-01-08 17:10:00,0 days 00:50:00.000000000,2020-01-08 18:00:00
3805,PRO7M,Shipping Wars – Die Transporter  USA 2013,Dokuserie,Report,Sa,01.08.,2020-01-08 17:10:00,0 days 00:30:00.000000000,2020-01-08 17:40:00
3806,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Sa,01.08.,2020-01-08 17:15:00,0 days 00:45:00.000000000,2020-01-08 18:00:00
3807,RTL-N,Border Patrol Canada – Einsatz an der Grenze  Kan. 2013,Doku,Report,Sa,01.08.,2020-01-08 17:15:00,0 days 00:25:00.000000000,2020-01-08 17:40:00
3808,DMAX,Die Beckenbauer – Pools der Superlative  USA,Dokusoap,Unterhaltung,Sa,01.08.,2020-01-08 17:15:00,0 days 01:00:00.000000000,2020-01-08 18:15:00
3809,SAT1G,Diagnose: Mord  USA 1999,Krimiserie,Serie,Sa,01.08.,2020-01-08 17:15:00,0 days 00:50:00.000000000,2020-01-08 18:05:00
3810,CC,American Dad  USA 2009,Zeichentrickserie,Serie,Sa,01.08.,2020-01-08 17:15:00,0 days 00:28:00.000000000,2020-01-08 17:43:00
3811,TELE5,Die Abenteuer des Brisco County jr.  USA 1993,Abenteuerserie,Serie,Sa,01.08.,2020-01-08 17:20:00,0 days 01:00:00.000000000,2020-01-08 18:20:00
3812,SERVU,Die reisende Küche  A 2019,Reportage,Report,Sa,01.08.,2020-01-08 17:25:00,0 days 00:35:00.000000000,2020-01-08 18:00:00
3813,K1,Scorpion  USA 2015,Krimiserie,Serie,Sa,01.08.,2020-01-08 17:30:00,0 days 00:55:00.000000000,2020-01-08 18:25:00
